Date,Open,High,Low,Close,Adj Close,Volume
2017-08-19,0.152600,0.161100,0.149400,0.158700,0.158700,5164770
2017-08-20,0.158700,0.208100,0.152300,0.195800,0.195800,26693972
2017-08-21,0.195800,0.259800,0.171500,0.242100,0.242100,63274812
2017-08-22,0.242100,0.297700,0.216900,0.245700,0.245700,91004423
2017-08-23,0.245700,0.286200,0.212400,0.217300,0.217300,60293466
2017-08-24,0.217300,0.230900,0.202900,0.216700,0.216700,26684921
2017-08-25,0.216700,0.230800,0.206900,0.209700,0.209700,12656357
2017-08-26,0.209700,0.210400,0.193000,0.201700,0.201700,13797221
2017-08-27,0.201700,0.242000,0.194700,0.225200,0.225200,39451333
2017-08-28,0.225200,0.226200,0.212500,0.219900,0.219900,17593049
2017-08-29,0.219900,0.233200,0.217500,0.231900,0.231900,13197215
2017-08-30,0.231900,0.264800,0.227500,0.259300,0.259300,24967187
2017-08-31,0.259300,0.260400,0.244400,0.252900,0.252900,23395578
2017-09-01,0.252900,0.253800,0.218500,0.225200,0.225200,26604564
2017-09-02,0.225200,0.238100,0.216800,0.230300,0.230300,16286560
2017-09-03,0.230300,0.230600,0.190100,0.204500,0.204500,22534210
2017-09-04,0.204500,0.220400,0.191700,0.216800,0.216800,15405037
2017-09-05,0.216800,0.232900,0.216200,0.231400,0.231400,14069400
2017-09-06,0.231400,0.231800,0.221600,0.227100,0.227100,9618400
2017-09-07,0.227100,0.229500,0.202600,0.212200,0.212200,17117912
2017-09-08,0.212200,0.214500,0.207500,0.213000,0.213000,5570562
2017-09-09,0.213000,0.224300,0.199300,0.217300,0.217300,11568283
2017-09-10,0.217300,0.221600,0.208700,0.214300,0.214300,9218343
2017-09-11,0.214300,0.224200,0.206000,0.209500,0.209500,11284359
2017-09-12,0.209500,0.209900,0.190400,0.198300,0.198300,11129429
2017-09-13,0.198300,0.200700,0.166300,0.171100,0.171100,19799145
2017-09-14,0.171100,0.191700,0.148300,0.184600,0.184600,26276485
2017-09-15,0.184600,0.191800,0.174100,0.182800,0.182800,10110436
2017-09-16,0.182800,0.184600,0.171700,0.181400,0.181400,5842469
2017-09-17,0.181400,0.194600,0.181400,0.193300,0.193300,11939758
2017-09-18,0.193300,0.194500,0.183100,0.184800,0.184800,7580781
2017-09-19,0.184800,0.188600,0.180800,0.181700,0.181700,5124528
2017-09-20,0.181700,0.183100,0.170300,0.171000,0.171000,7328786
2017-09-21,0.171000,0.177000,0.167500,0.172800,0.172800,4650917
2017-09-22,0.172800,0.180300,0.170100,0.179100,0.179100,6619856
2017-09-23,0.179100,0.179900,0.173300,0.175700,0.175700,2703736
2017-09-24,0.175700,0.186900,0.174800,0.184600,0.184600,6120293
2017-09-25,0.184600,0.194000,0.180900,0.189200,0.189200,9505462
2017-09-26,0.189200,0.214600,0.187400,0.209900,0.209900,20430598
2017-09-27,0.209900,0.210200,0.196800,0.202300,0.202300,13665339
2017-09-28,0.202300,0.202500,0.188000,0.196700,0.196700,10597662
2017-09-29,0.196700,0.205100,0.195500,0.199900,0.199900,9927019
2017-09-30,0.199900,0.208500,0.196500,0.208300,0.208300,4883081
2017-10-01,0.208300,0.209200,0.200100,0.203100,0.203100,7328241
2017-10-02,0.203100,0.206200,0.198000,0.203300,0.203300,5839906
2017-10-03,0.203300,0.217000,0.201200,0.213500,0.213500,14142819
2017-10-04,0.213500,0.244200,0.213400,0.238000,0.238000,36202349
2017-10-05,0.238000,0.244400,0.233200,0.233400,0.233400,22431251
2017-10-06,0.233400,0.241100,0.232400,0.239700,0.239700,9872421
2017-10-07,0.239700,0.281100,0.238500,0.279900,0.279900,38550634
2017-10-08,0.279900,0.280200,0.234000,0.250100,0.250100,50199290
2017-10-09,0.250100,0.266600,0.240600,0.258200,0.258200,25680589
2017-10-10,0.258200,0.265600,0.255300,0.263200,0.263200,14969602
2017-10-11,0.263200,0.265200,0.246100,0.246400,0.246400,27832182
2017-10-12,0.246400,0.265100,0.233000,0.260200,0.260200,40101635
2017-10-13,0.260200,0.268500,0.254200,0.255600,0.255600,30854310
2017-10-14,0.255600,0.269100,0.248200,0.265200,0.265200,20965294
2017-10-15,0.265200,0.297700,0.252300,0.257900,0.257900,70795786
2017-10-16,0.257900,0.265400,0.214000,0.229500,0.229500,49254939
2017-10-17,0.229500,0.234400,0.201600,0.217000,0.217000,34877987
2017-10-18,0.217000,0.232000,0.206400,0.213900,0.213900,28646038
2017-10-19,0.214100,0.223400,0.205600,0.208200,0.208200,19864451
2017-10-20,0.208100,0.210700,0.197100,0.209700,0.209700,14731305
