Zcashcurrency_volume,TRON,IOTAcurrency_marketcap,TRONcurrency_marketcap,Vergecurrency_marketcap,Dashcurrency_marketcap,Steemcurrency_marketcap,Ethereum Classiccurrency_marketcap,ICONcurrency_marketcap,Stellarcurrency_volume,Steem,Zcash,Bitcoin Cashcurrency_volume,Nanocurrency_volume,Monerocurrency_marketcap,Ethereum,IOTA,Litecoincurrency_marketcap,Cardanocurrency_marketcap,NEMcurrency_volume,Liskcurrency_marketcap,ICONcurrency_volume,NEOcurrency_marketcap,NEOcurrency_volume,Bitcoin Goldcurrency_volume,Vergecurrency_volume,TRONcurrency_volume,Nano,Tethercurrency_marketcap,VeChaincurrency_marketcap,Bitcoincurrency_marketcap,Litecoin,Stratiscurrency_marketcap,Binance Coincurrency_volume,Ethereum Classic,OmiseGOcurrency_marketcap,Steemcurrency_volume,Tethercurrency_volume,EOScurrency_marketcap,Qtumcurrency_marketcap,ICON,IOTAcurrency_volume,Verge,Qtumcurrency_volume,Bitcoin Goldcurrency_marketcap,EOScurrency_volume,Bitcoin Gold,NEMcurrency_marketcap,Cardano,Stellarcurrency_marketcap,Ethereumcurrency_marketcap,VeChaincurrency_volume,Litecoincurrency_volume,Ripplecurrency_volume,Qtum,Stellar,DigixDAOcurrency_marketcap,NEM,Dash,DigixDAOcurrency_volume,Liskcurrency_volume,Bitcoin Cash,Populous,Zcashcurrency_marketcap,NEO,Ripplecurrency_marketcap,Binance Coincurrency_marketcap,OmiseGOcurrency_volume,Populouscurrency_marketcap,Bitcoin,Cardanocurrency_volume,Lisk,EOS,Dashcurrency_volume,Stratiscurrency_volume,Stratis,Ripple,Nanocurrency_marketcap,Monerocurrency_volume,Monero,Bitcoin Cashcurrency_marketcap,OmiseGO,Ethereum Classiccurrency_volume,DigixDAO,time,Bitcoincurrency_volume,VeChain,Populouscurrency_volume,Binance Coin,Tether,Ethereumcurrency_volume
"$54,068,800",$0.047555,"$5,210,396,28","$3,126,642,14","$823,512,13","$4,838,886,13","$875,961,58","$2,799,900,88","$1,399,730,17","$93,735,500",$3.49,$395.85,"$347,909,000","$55,018,500","$5,841,828,86",$860.04,$1.87,"$11,777,995,94","$8,034,150,98","$74,350,800","$1,920,002,71","$18,164,100","$7,672,015,00","$194,849,000","$21,400,000","$14,717,600","$295,405,000",$15.19,"$2,213,985,82","$2,237,672,83","$194,948,840,00",$212.24,"$827,174,41","$38,380,700",$27.91,"$1,774,897,53","$7,192,190","$2,248,560,000","$5,755,036,83","$2,003,522,81",$3.63,"$24,674,000",$0.056128,"$95,298,000","$1,887,977,53","$222,745,000",$111.97,"$3,275,469,00",$0.309875,"$7,182,622,41","$84,284,894,04","$37,720,900","$608,571,000","$1,915,380,000",$27.10,$0.388920,"$991,998,00",$0.363941,$610.35,"$30,490,900","$29,038,400",$1274.84,$21.88,"$1,351,566,09",$118.03,"$41,139,593,39","$1,019,279,82","$41,319,400","$809,829,42",$11534.30,"$206,397,000",$18.73,$8.12,"$117,213,000","$8,319,390",$8.38,$1.05,"$2,023,388,59","$133,659,000",$369.94,"$21,673,937,29",$17.39,"$621,123,000",$496.00,1520269885.5754712,"$6,411,550,000",$4.71,"$4,076,880",$10.29,$0.998577,"$1,863,470,000"
,$0.047555,"$5,210,396,28","$3,126,642,14",,"$4,838,886,13",,"$2,799,900,88",,"$93,735,500",,,"$347,909,000","$55,018,500","$5,841,828,86",$860.04,$1.87,"$11,777,995,94","$8,034,150,98","$74,350,800","$1,920,002,71",,"$7,672,015,00","$194,849,000",,,"$295,405,000",$15.19,"$2,213,985,82","$2,237,672,83","$194,948,840,00",$212.24,,,$27.91,,,"$2,248,560,000","$5,755,036,83","$2,003,522,81",,"$24,674,000",,"$95,298,000",,"$222,745,000",,"$3,275,469,00",$0.309875,"$7,182,622,41","$84,284,894,04","$37,720,900","$608,571,000","$1,915,380,000",$27.10,$0.388920,,$0.363941,$610.35,,"$29,038,400",$1274.84,,,$118.03,"$41,139,593,39",,,,$11534.30,"$206,397,000",$18.73,$8.12,"$117,213,000",,,$1.05,"$2,023,388,59","$133,659,000",$369.94,"$21,673,937,29",,"$621,123,000",,1520270190.5572774,"$6,411,550,000",$4.71,,,$0.998577,"$1,863,470,000"
,$0.047664,"$5,212,953,45","$3,133,828,42",,"$4,833,756,65",,"$2,802,057,35",,"$93,772,700",,,"$348,034,000","$54,874,400","$5,842,065,72",$860.35,$1.88,"$11,771,947,12","$8,023,339,39","$74,245,100","$1,921,273,72",,"$7,672,925,00","$194,678,000",,,"$295,329,000",$15.17,"$2,215,624,28","$2,243,887,04","$195,182,082,94",$212.13,,,$27.94,,,"$2,244,830,000","$5,753,711,59","$1,998,554,92",,"$24,624,500",,"$95,688,500",,"$222,797,000",,"$3,268,143,00",$0.309458,"$7,168,771,32","$84,315,862,50","$37,874,100","$608,529,000","$1,911,430,000",$27.03,$0.388170,,$0.363127,$609.70,,"$29,075,200",$1274.10,,,$118.05,"$41,106,365,23",,,,$11548.10,"$205,253,000",$18.74,$8.12,"$117,171,000",,,$1.05,"$2,021,216,64","$133,102,000",$369.96,"$21,661,356,33",,"$621,216,000",,1520270498.8223915,"$6,412,400,000",$4.72,,,$0.999316,"$1,863,380,000"
,$0.047577,"$5,207,366,59","$3,128,114,90",,"$4,836,046,53",,"$2,795,717,69",,"$93,782,600",,,"$347,936,000","$54,477,400","$5,843,440,63",$859.64,$1.87,"$11,759,387,12","$8,026,321,00","$74,054,700","$1,919,130,18",,"$7,664,150,00","$192,345,000",,,"$294,592,000",$15.16,"$2,214,613,27","$2,241,126,75","$195,195,892,99",$211.90,,,$27.87,,,"$2,247,860,000","$5,754,019,92","$1,999,502,27",,"$24,533,900",,"$95,956,700",,"$222,584,000",,"$3,270,483,00",$0.309573,"$7,130,431,49","$84,246,369,38","$37,777,800","$608,078,000","$1,901,250,000",$27.05,$0.386094,,$0.363387,$609.99,,"$29,121,600",$1273.00,,,$117.91,"$40,884,713,84",,,,$11548.90,"$203,546,000",$18.72,$8.12,"$117,102,000",,,$1.05,"$2,019,537,72","$132,045,000",$370.05,"$21,642,702,63",,"$619,889,000",,1520270804.048089,"$6,410,490,000",$4.72,,,$0.998860,"$1,854,800,000"
,$0.047620,"$5,207,700,14","$3,130,942,07",,"$4,837,402,24",,"$2,791,866,12",,"$93,577,000",,,"$347,635,000","$54,414,300","$5,846,409,36",$859.25,$1.87,"$11,765,935,40","$8,061,892,94","$74,003,000","$1,917,818,16",,"$7,668,700,00","$192,106,000",,,"$294,540,000",$15.14,"$2,217,273,84","$2,237,725,09","$195,195,892,99",$212.02,,,$27.83,,,"$2,250,520,000","$5,750,058,39","$2,000,500,28",,"$24,531,000",,"$96,247,600",,"$222,345,000",,"$3,270,168,00",$0.310945,"$7,098,186,15","$84,208,148,72","$37,763,400","$608,257,000","$1,891,750,000",$27.06,$0.384348,,$0.363352,$610.16,,"$29,079,800",$1272.71,,,$117.98,"$40,813,957,39",,,,$11548.90,"$204,075,000",$18.71,$8.11,"$116,887,000",,,$1.04,"$2,017,832,14","$131,950,000",$370.23,"$21,637,772,25",,"$619,019,000",,1520271109.1558383,"$6,410,490,000",$4.71,,,$1.00,"$1,854,600,000"
,$0.047600,"$5,208,005,89","$3,129,581,08",,"$4,837,521,16",,"$2,785,988,46",,"$94,435,200",,,"$347,329,000","$54,426,800","$5,848,809,61",$859.37,$1.87,"$11,762,716,75","$8,030,261,92","$74,083,000","$1,916,598,39",,"$7,672,535,00","$192,176,000",,,"$294,321,000",$15.14,"$2,218,293,72","$2,230,171,11","$195,194,202,82",$211.96,,,$27.78,,,"$2,249,560,000","$5,742,709,35","$1,998,652,11",,"$24,442,300",,"$96,413,500",,"$222,116,000",,"$3,278,673,00",$0.309725,"$7,026,529,83","$84,219,222,91","$37,911,300","$608,897,000","$1,884,230,000",$27.04,$0.380468,,$0.364297,$610.17,,"$29,040,400",$1272.52,,,$118.04,"$40,673,617,27",,,,$11548.80,"$203,427,000",$18.70,$8.10,"$116,684,000",,,$1.04,"$2,017,232,52","$131,343,000",$370.39,"$21,634,541,99",,"$616,510,000",,1520271414.9025946,"$6,404,100,000",$4.69,,,$1.00,"$1,853,410,000"
,$0.047541,"$5,183,434,84","$3,125,741,39",,"$4,834,619,86",,"$2,778,675,89",,"$94,421,400",,,"$347,234,000","$54,309,800","$5,843,199,21",$859.37,$1.86,"$11,747,381,98","$8,015,457,56","$73,945,600","$1,918,524,36",,"$7,674,225,00","$192,383,000",,,"$294,058,000",$15.19,"$2,215,724,06","$2,219,415,01","$195,045,906,50",$211.69,,,$27.70,,,"$2,245,080,000","$5,747,280,35","$1,993,278,48",,"$24,783,300",,"$96,396,000",,"$222,177,000",,"$3,270,753,00",$0.309154,"$6,964,699,01","$84,219,222,91","$37,995,300","$608,330,000","$1,878,610,000",$26.96,$0.377120,,$0.363417,$609.80,,"$29,054,000",$1272.65,,,$118.06,"$40,563,377,95",,,,$11540.00,"$202,543,000",$18.72,$8.11,"$116,609,000",,,$1.04,"$2,023,775,01","$131,600,000",$370.03,"$21,636,783,98",,"$614,773,000",,1520271720.2434385,"$6,403,230,000",$4.67,,,$0.999361,"$1,853,410,000"
,$0.047498,"$5,171,065,93","$3,122,901,07",,"$4,829,522,05",,"$2,773,911,56",,"$94,647,700",,,"$346,729,000","$54,195,000","$5,859,543,05",$858.00,$1.86,"$11,740,001,26","$8,013,305,61","$73,767,400","$1,915,418,54",,"$7,649,590,00","$191,757,000",,,"$293,677,000",$15.20,"$2,216,916,88","$2,213,115,28","$195,007,032,53",$211.55,,,$27.66,,,"$2,248,720,000","$5,743,063,69","$1,993,869,90",,"$24,846,800",,"$96,648,300",,"$221,908,000",,"$3,267,675,00",$0.309071,"$6,967,653,91","$84,085,710,26","$38,027,200","$608,063,000","$1,868,400,000",$26.97,$0.377280,,$0.363075,$609.16,,"$29,025,400",$1270.65,,,$117.69,"$40,339,771,96",,,,$11537.70,"$202,162,000",$18.69,$8.10,"$116,571,000",,,$1.03,"$2,025,427,29","$131,922,000",$371.06,"$21,602,781,26",,"$613,818,000",,1520272025.6709223,"$6,399,140,000",$4.66,,,$0.999899,"$1,856,100,000"
,$0.047440,"$5,170,704,59","$3,119,127,12",,"$4,834,064,89",,"$2,769,909,53",,"$94,222,000",,,"$346,594,000","$54,227,000","$5,877,039,65",$858.47,$1.86,"$11,740,223,24","$8,017,324,31","$73,386,500","$1,922,265,69",,"$7,658,365,00","$192,024,000",,,"$293,725,000",$15.20,"$2,214,420,38","$2,223,899,89","$194,910,692,70",$211.56,,,$27.62,,,"$2,247,500,000","$5,743,843,24","$1,993,581,58",,"$24,822,000",,"$96,797,200",,"$221,833,000",,"$3,263,868,00",$0.309226,"$6,967,635,44","$84,131,281,18","$38,155,200","$609,058,000","$1,869,360,000",$26.97,$0.377279,,$0.362652,$609.73,,"$29,134,600",$1270.88,,,$117.82,"$40,400,755,41",,,,$11532.00,"$202,278,000",$18.75,$8.10,"$116,763,000",,,$1.03,"$2,024,934,27","$132,332,000",$372.17,"$21,606,691,57",,"$613,684,000",,1520272330.7597048,"$6,402,770,000",$4.68,,,$0.998773,"$1,856,230,000"
,$0.047388,"$5,167,174,59","$3,115,655,62",,"$4,837,347,14",,"$2,763,399,95",,"$94,072,400",,,"$346,407,000","$54,172,600","$5,872,523,38",$858.50,$1.86,"$11,743,885,85","$8,018,387,32","$73,483,400","$1,917,273,83",,"$7,656,610,00","$192,135,000",,,"$293,525,000",$15.17,"$2,214,870,46","$2,223,538,81","$194,822,803,73",$211.62,,,$27.55,,,"$2,247,500,000","$5,746,890,58","$1,994,845,73",,"$24,785,800",,"$97,155,800",,"$221,765,000",,"$3,270,825,00",$0.309267,"$6,941,595,38","$84,134,417,25","$38,272,900","$609,181,000","$1,873,060,000",$26.98,$0.375869,,$0.363425,$610.15,,"$29,116,100",$1270.95,,,$117.79,"$40,527,022,43",,,,$11526.80,"$202,291,000",$18.70,$8.11,"$116,773,000",,,$1.04,"$2,021,563,09","$132,146,000",$371.89,"$21,607,881,66",,"$613,450,000",,1520272636.022962,"$6,403,350,000",$4.68,,,$0.998976,"$1,856,490,000"
