Populouscurrency_marketcap,Tether,Ethereum Classiccurrency_marketcap,Stratiscurrency_marketcap,EOS,Monero,ICONcurrency_volume,Stellarcurrency_volume,Stratiscurrency_volume,Dash,Litecoincurrency_volume,ICONcurrency_marketcap,Ethereum,Bitcoincurrency_marketcap,IOTA,Cardanocurrency_volume,VeChaincurrency_volume,NEOcurrency_marketcap,Bitcoincurrency_volume,Qtumcurrency_volume,Zcashcurrency_marketcap,Ethereumcurrency_volume,EOScurrency_volume,Steemcurrency_marketcap,IOTAcurrency_marketcap,Binance Coincurrency_volume,Liskcurrency_volume,Ethereum Classic,NEO,EOScurrency_marketcap,time,ICON,Bitcoin Goldcurrency_marketcap,TRONcurrency_marketcap,OmiseGOcurrency_volume,Steemcurrency_volume,Dashcurrency_volume,DigixDAOcurrency_marketcap,VeChaincurrency_marketcap,Cardanocurrency_marketcap,Bitcoin Cashcurrency_volume,Tethercurrency_volume,Ripplecurrency_volume,Binance Coincurrency_marketcap,OmiseGO,Nanocurrency_marketcap,Bitcoin Cashcurrency_marketcap,Ripplecurrency_marketcap,Bitcoin Gold,Monerocurrency_marketcap,Zcash,Qtumcurrency_marketcap,Nano,Zcashcurrency_volume,Liskcurrency_marketcap,Populous,Qtum,Ethereum Classiccurrency_volume,Ethereumcurrency_marketcap,Bitcoin Cash,IOTAcurrency_volume,DigixDAOcurrency_volume,Stellarcurrency_marketcap,Stellar,OmiseGOcurrency_marketcap,Stratis,Bitcoin Goldcurrency_volume,Binance Coin,VeChain,Monerocurrency_volume,NEMcurrency_volume,DigixDAO,NEOcurrency_volume,Vergecurrency_volume,Lisk,Dashcurrency_marketcap,TRONcurrency_volume,Cardano,Steem,Tethercurrency_marketcap,NEMcurrency_marketcap,Litecoincurrency_marketcap,TRON,Bitcoin,NEM,Nanocurrency_volume,Vergecurrency_marketcap,Ripple,Populouscurrency_volume,Litecoin,Verge
"$809,829,42",$0.998577,"$2,799,900,88","$827,174,41",$8.12,$369.94,"$18,164,100","$93,735,500","$8,319,390",$610.35,"$608,571,000","$1,399,730,17",$860.04,"$194,948,840,00",$1.87,"$206,397,000","$37,720,900","$7,672,015,00","$6,411,550,000","$95,298,000","$1,351,566,09","$1,863,470,000","$222,745,000","$875,961,58","$5,210,396,28","$38,380,700","$29,038,400",$27.91,$118.03,"$5,755,036,83",1520269930.4385295,$3.63,"$1,887,977,53","$3,126,642,14","$41,319,400","$7,192,190","$117,213,000","$991,998,00","$2,237,672,83","$8,034,150,98","$347,909,000","$2,248,560,000","$1,915,380,000","$1,019,279,82",$17.39,"$2,023,388,59","$21,673,937,29","$41,139,593,39",$111.97,"$5,841,828,86",$395.85,"$2,003,522,81",$15.19,"$54,068,800","$1,920,002,71",$21.88,$27.10,"$621,123,000","$84,284,894,04",$1274.84,"$24,674,000","$30,490,900","$7,182,622,41",$0.388920,"$1,774,897,53",$8.38,"$21,400,000",$10.29,$4.71,"$133,659,000","$74,350,800",$496.00,"$194,849,000","$14,717,600",$18.73,"$4,838,886,13","$295,405,000",$0.309875,$3.49,"$2,213,985,82","$3,275,469,00","$11,777,995,94",$0.047555,$11534.30,$0.363941,"$55,018,500","$823,512,13",$1.05,"$4,076,880",$212.24,$0.056128
"$809,829,42",$0.998577,"$2,799,900,88","$827,174,41",$8.12,$369.94,"$18,164,100","$93,735,500","$8,319,390",$610.35,"$608,571,000","$1,399,730,17",$860.04,"$194,948,840,00",$1.87,"$206,397,000","$37,720,900","$7,672,015,00","$6,411,550,000","$95,298,000","$1,351,566,09","$1,863,470,000","$222,745,000","$875,961,58","$5,210,396,28","$38,380,700","$29,038,400",$27.91,$118.03,"$5,755,036,83",1520270235.2966135,$3.63,"$1,887,977,53","$3,126,642,14","$41,319,400","$7,192,190","$117,213,000","$991,998,00","$2,237,672,83","$8,034,150,98","$347,909,000","$2,248,560,000","$1,915,380,000","$1,019,279,82",$17.39,"$2,023,388,59","$21,673,937,29","$41,139,593,39",$111.97,"$5,841,828,86",$395.85,"$2,003,522,81",$15.19,"$54,068,800","$1,920,002,71",$21.88,$27.10,"$621,123,000","$84,284,894,04",$1274.84,"$24,674,000","$30,490,900","$7,182,622,41",$0.388920,"$1,774,897,53",$8.38,"$21,400,000",$10.29,$4.71,"$133,659,000","$74,350,800",$496.00,"$194,849,000","$14,717,600",$18.73,"$4,838,886,13","$295,405,000",$0.309875,$3.49,"$2,213,985,82","$3,275,469,00","$11,777,995,94",$0.047555,$11534.30,$0.363941,"$55,018,500","$823,512,13",$1.05,"$4,076,880",$212.24,$0.056128
"$807,716,49",$0.999316,"$2,802,057,35","$827,760,08",$8.12,$369.96,"$18,040,800","$93,772,700","$8,336,560",$609.70,"$608,529,000","$1,398,074,38",$860.35,"$195,182,082,94",$1.88,"$205,253,000","$37,874,100","$7,672,925,00","$6,412,400,000","$95,688,500","$1,350,627,14","$1,863,380,000","$222,797,000","$876,134,76","$5,212,953,45","$38,451,300","$29,075,200",$27.94,$118.05,"$5,753,711,59",1520270543.5008633,$3.62,"$1,885,431,36","$3,133,828,42","$41,177,100","$7,239,610","$117,171,000","$994,266,00","$2,243,887,04","$8,023,339,39","$348,034,000","$2,244,830,000","$1,911,430,000","$1,018,844,15",$17.38,"$2,021,216,64","$21,661,356,33","$41,106,365,23",$111.81,"$5,842,065,72",$395.57,"$1,998,554,92",$15.17,"$54,136,300","$1,921,273,72",$21.83,$27.03,"$621,216,000","$84,315,862,50",$1274.10,"$24,624,500","$30,422,900","$7,168,771,32",$0.388170,"$1,773,866,90",$8.38,"$21,372,200",$10.29,$4.72,"$133,102,000","$74,245,100",$497.13,"$194,678,000","$14,741,700",$18.74,"$4,833,756,65","$295,329,000",$0.309458,$3.49,"$2,215,624,28","$3,268,143,00","$11,771,947,12",$0.047664,$11548.10,$0.363127,"$54,874,400","$825,018,93",$1.05,"$4,079,760",$212.13,$0.056231
"$815,309,72",$0.998860,"$2,795,717,69","$825,274,32",$8.12,$370.05,"$17,687,900","$93,782,600","$8,362,280",$609.99,"$608,078,000","$1,395,364,89",$859.64,"$195,195,892,99",$1.87,"$203,546,000","$37,777,800","$7,664,150,00","$6,410,490,000","$95,956,700","$1,349,217,51","$1,854,800,000","$222,584,000","$878,411,20","$5,207,366,59","$38,451,400","$29,121,600",$27.87,$117.91,"$5,754,019,92",1520270848.6314855,$3.62,"$1,882,398,98","$3,128,114,90","$41,169,300","$7,277,620","$117,102,000","$991,396,00","$2,241,126,75","$8,026,321,00","$347,936,000","$2,247,860,000","$1,901,250,000","$1,018,636,22",$17.38,"$2,019,537,72","$21,642,702,63","$40,884,713,84",$111.64,"$5,843,440,63",$395.14,"$1,999,502,27",$15.16,"$54,266,500","$1,919,130,18",$22.03,$27.05,"$619,889,000","$84,246,369,38",$1273.00,"$24,533,900","$30,222,200","$7,130,431,49",$0.386094,"$1,773,183,21",$8.36,"$21,338,300",$10.29,$4.72,"$132,045,000","$74,054,700",$495.70,"$192,345,000","$14,888,000",$18.72,"$4,836,046,53","$294,592,000",$0.309573,$3.50,"$2,214,613,27","$3,270,483,00","$11,759,387,12",$0.047577,$11548.90,$0.363387,"$54,477,400","$818,364,71",$1.05,"$4,129,710",$211.90,$0.055778
"$822,303,48",$1.00,"$2,791,866,12","$825,621,97",$8.11,$370.23,"$17,604,700","$93,577,000","$8,377,350",$610.16,"$608,257,000","$1,395,465,24",$859.25,"$195,195,892,99",$1.87,"$204,075,000","$37,763,400","$7,668,700,00","$6,410,490,000","$96,247,600","$1,348,346,80","$1,854,600,000","$222,345,000","$874,684,07","$5,207,700,14","$38,504,700","$29,079,800",$27.83,$117.98,"$5,750,058,39",1520271153.6991844,$3.62,"$1,883,495,01","$3,130,942,07","$41,187,300","$7,254,940","$116,887,000","$993,320,00","$2,237,725,09","$8,061,892,94","$347,635,000","$2,250,520,000","$1,891,750,000","$1,019,428,34",$17.37,"$2,017,832,14","$21,637,772,25","$40,813,957,39",$111.70,"$5,846,409,36",$394.88,"$2,000,500,28",$15.14,"$54,354,200","$1,917,818,16",$22.22,$27.06,"$619,019,000","$84,208,148,72",$1272.71,"$24,531,000","$30,075,000","$7,098,186,15",$0.384348,"$1,772,948,52",$8.36,"$21,437,300",$10.30,$4.71,"$131,950,000","$74,003,000",$496.66,"$192,106,000","$14,727,700",$18.71,"$4,837,402,24","$294,540,000",$0.310945,$3.48,"$2,217,273,84","$3,270,168,00","$11,765,935,40",$0.047620,$11548.90,$0.363352,"$54,414,300","$817,733,81",$1.04,"$4,161,550",$212.02,$0.055734
"$815,790,77",$1.00,"$2,785,988,46","$825,958,76",$8.10,$370.39,"$17,484,600","$94,435,200","$8,390,070",$610.17,"$608,897,000","$1,395,939,98",$859.37,"$195,194,202,82",$1.87,"$203,427,000","$37,911,300","$7,672,535,00","$6,404,100,000","$96,413,500","$1,347,742,42","$1,853,410,000","$222,116,000","$873,406,55","$5,208,005,89","$38,557,800","$29,040,400",$27.78,$118.04,"$5,742,709,35",1520271458.7304559,$3.62,"$1,882,449,56","$3,129,581,08","$41,137,700","$7,247,760","$116,684,000","$994,506,00","$2,230,171,11","$8,030,261,92","$347,329,000","$2,249,560,000","$1,884,230,000","$1,019,804,59",$17.38,"$2,017,232,52","$21,634,541,99","$40,673,617,27",$111.64,"$5,848,809,61",$394.70,"$1,998,652,11",$15.14,"$54,369,800","$1,916,598,39",$22.05,$27.04,"$616,510,000","$84,219,222,91",$1272.52,"$24,442,300","$30,023,500","$7,026,529,83",$0.380468,"$1,773,428,12",$8.36,"$21,422,900",$10.30,$4.69,"$131,343,000","$74,083,000",$497.25,"$192,176,000","$14,746,100",$18.70,"$4,837,521,16","$294,321,000",$0.309725,$3.48,"$2,218,293,72","$3,278,673,00","$11,762,716,75",$0.047600,$11548.80,$0.364297,"$54,426,800","$821,749,53",$1.04,"$4,186,100",$211.96,$0.056008
"$813,503,92",$0.999361,"$2,778,675,89","$825,386,07",$8.11,$370.03,"$17,411,500","$94,421,400","$8,368,640",$609.80,"$608,330,000","$1,392,732,60",$859.37,"$195,045,906,50",$1.86,"$202,543,000","$37,995,300","$7,674,225,00","$6,403,230,000","$96,396,000","$1,346,551,87","$1,853,410,000","$222,177,000","$874,312,61","$5,183,434,84","$38,552,300","$29,054,000",$27.70,$118.06,"$5,747,280,35",1520271763.8879125,$3.61,"$1,881,336,66","$3,125,741,39","$41,020,200","$7,239,070","$116,609,000","$993,648,00","$2,219,415,01","$8,015,457,56","$347,234,000","$2,245,080,000","$1,878,610,000","$1,018,883,76",$17.37,"$2,023,775,01","$21,636,783,98","$40,563,377,95",$111.57,"$5,843,199,21",$394.35,"$1,993,278,48",$15.19,"$54,430,100","$1,918,524,36",$21.98,$26.96,"$614,773,000","$84,219,222,91",$1272.65,"$24,783,300","$29,788,600","$6,964,699,01",$0.377120,"$1,772,877,09",$8.36,"$21,386,100",$10.29,$4.67,"$131,600,000","$73,945,600",$496.82,"$192,383,000","$14,603,500",$18.72,"$4,834,619,86","$294,058,000",$0.309154,$3.48,"$2,215,724,06","$3,270,753,00","$11,747,381,98",$0.047541,$11540.00,$0.363417,"$54,309,800","$819,053,98",$1.04,"$4,177,850",$211.69,$0.055824
"$828,694,08",$0.999899,"$2,773,911,56","$824,402,37",$8.10,$371.06,"$17,365,200","$94,647,700","$8,361,800",$609.16,"$608,063,000","$1,393,724,54",$858.00,"$195,007,032,53",$1.86,"$202,162,000","$38,027,200","$7,649,590,00","$6,399,140,000","$96,648,300","$1,346,077,24","$1,856,100,000","$221,908,000","$877,138,70","$5,171,065,93","$38,629,900","$29,025,400",$27.66,$117.69,"$5,743,063,69",1520272068.9436114,$3.61,"$1,880,426,11","$3,122,901,07","$40,805,100","$7,248,330","$116,571,000","$991,434,00","$2,213,115,28","$8,013,305,61","$346,729,000","$2,248,720,000","$1,868,400,000","$1,018,230,27",$17.37,"$2,025,427,29","$21,602,781,26","$40,339,771,96",$111.52,"$5,859,543,05",$394.21,"$1,993,869,90",$15.20,"$54,482,500","$1,915,418,54",$22.39,$26.97,"$613,818,000","$84,085,710,26",$1270.65,"$24,846,800","$29,686,700","$6,967,653,91",$0.377280,"$1,772,438,30",$8.35,"$21,321,100",$10.28,$4.66,"$131,922,000","$73,767,400",$495.72,"$191,757,000","$14,576,300",$18.69,"$4,829,522,05","$293,677,000",$0.309071,$3.49,"$2,216,916,88","$3,267,675,00","$11,740,001,26",$0.047498,$11537.70,$0.363075,"$54,195,000","$816,911,86",$1.03,"$4,340,400",$211.55,$0.055678
"$837,023,68",$0.998773,"$2,769,909,53","$823,478,91",$8.10,$372.17,"$17,298,900","$94,222,000","$8,360,880",$609.73,"$609,058,000","$1,392,856,11",$858.47,"$194,910,692,70",$1.86,"$202,278,000","$38,155,200","$7,658,365,00","$6,402,770,000","$96,797,200","$1,347,835,76","$1,856,230,000","$221,833,000","$876,860,11","$5,170,704,59","$38,688,100","$29,134,600",$27.62,$117.82,"$5,743,843,24",1520272373.9453766,$3.61,"$1,878,959,11","$3,119,127,12","$40,716,400","$7,249,140","$116,763,000","$991,746,00","$2,223,899,89","$8,017,324,31","$346,594,000","$2,247,500,000","$1,869,360,000","$1,017,824,31",$17.36,"$2,024,934,27","$21,606,691,57","$40,400,755,41",$111.43,"$5,877,039,65",$394.73,"$1,993,581,58",$15.20,"$54,587,800","$1,922,265,69",$22.62,$26.97,"$613,684,000","$84,131,281,18",$1270.88,"$24,822,000","$29,593,800","$6,967,635,44",$0.377279,"$1,771,754,62",$8.34,"$21,213,300",$10.28,$4.68,"$132,332,000","$73,386,500",$495.87,"$192,024,000","$14,582,400",$18.75,"$4,834,064,89","$293,725,000",$0.309226,$3.49,"$2,214,420,38","$3,263,868,00","$11,740,223,24",$0.047440,$11532.00,$0.362652,"$54,227,000","$816,624,29",$1.03,"$4,375,390",$211.56,$0.055659
"$837,982,09",$0.998976,"$2,763,399,95","$823,679,41",$8.11,$371.89,"$17,221,100","$94,072,400","$8,342,890",$610.15,"$609,181,000","$1,393,002,78",$858.50,"$194,822,803,73",$1.86,"$202,291,000","$38,272,900","$7,656,610,00","$6,403,350,000","$97,155,800","$1,348,091,85","$1,856,490,000","$221,765,000","$877,219,02","$5,167,174,59","$38,773,500","$29,116,100",$27.55,$117.79,"$5,746,890,58",1520272679.1263113,$3.61,"$1,883,410,70","$3,115,655,62","$40,854,000","$7,247,920","$116,773,000","$993,064,00","$2,223,538,81","$8,018,387,32","$346,407,000","$2,247,500,000","$1,873,060,000","$1,017,953,03",$17.39,"$2,021,563,09","$21,607,881,66","$40,527,022,43",$111.69,"$5,872,523,38",$394.80,"$1,994,845,73",$15.17,"$54,520,900","$1,917,273,83",$22.65,$26.98,"$613,450,000","$84,134,417,25",$1270.95,"$24,785,800","$29,447,200","$6,941,595,38",$0.375869,"$1,774,591,40",$8.34,"$21,352,600",$10.28,$4.68,"$132,146,000","$73,483,400",$496.53,"$192,135,000","$14,580,200",$18.70,"$4,837,347,14","$293,525,000",$0.309267,$3.50,"$2,214,870,46","$3,270,825,00","$11,743,885,85",$0.047388,$11526.80,$0.363425,"$54,172,600","$820,908,52",$1.04,"$4,412,280",$211.62,$0.055951
