Date(UTC),UnixTimeStamp,Value
7/30/15,1438214400,0
7/31/15,1438300800,0
8/1/15,1438387200,0
8/2/15,1438473600,0
8/3/15,1438560000,0
8/4/15,1438646400,0
8/5/15,1438732800,0
8/6/15,1438819200,0
8/7/15,1438905600,3.73184E+19
8/8/15,1438992000,6.81E+19
8/9/15,1439078400,1.40989E+19
8/10/15,1439164800,3.11651E+19
8/11/15,1439251200,1.13114E+19
8/12/15,1439337600,3.2587E+19
8/13/15,1439424000,2.49292E+19
8/14/15,1439510400,1.43548E+19
8/15/15,1439596800,8.83659E+18
8/17/15,1439769600,7.64281E+18
8/16/15,1439683200,6.67724E+18
8/18/15,1439856000,1.19061E+19
8/19/15,1439942400,1.5431E+19
8/20/15,1440028800,6.85557E+18
8/21/15,1440115200,7.85504E+18
8/22/15,1440201600,4.25472E+19
8/23/15,1440288000,8.04977E+18
8/24/15,1440374400,8.87629E+18
8/25/15,1440460800,8.25976E+18
8/26/15,1440547200,7.44773E+18
8/27/15,1440633600,8.67096E+18
8/28/15,1440720000,9.92515E+18
8/29/15,1440806400,5.50745E+18
8/30/15,1440892800,5.63417E+18
8/31/15,1440979200,7.42453E+18
9/1/15,1441065600,7.84377E+18
9/2/15,1441152000,8.15374E+18
9/3/15,1441238400,6.97003E+18
9/4/15,1441324800,9.73386E+18
9/5/15,1441411200,9.14123E+18
9/6/15,1441497600,8.05549E+18
9/7/15,1441584000,9.25642E+18
9/8/15,1441670400,1.03799E+19
9/9/15,1441756800,9.8406E+18
9/10/15,1441843200,7.92581E+18
9/11/15,1441929600,8.87673E+18
9/12/15,1442016000,1.13548E+19
9/13/15,1442102400,9.57873E+18
9/14/15,1442188800,9.90155E+18
9/15/15,1442275200,8.427E+18
9/16/15,1442361600,1.51466E+19
9/17/15,1442448000,8.55652E+18
9/18/15,1442534400,1.18348E+19
9/19/15,1442620800,7.9822E+18
9/20/15,1442707200,1.09696E+19
9/21/15,1442793600,1.01807E+19
9/22/15,1442880000,1.14041E+19
9/23/15,1442966400,1.07003E+19
9/24/15,1443052800,1.03195E+19
9/25/15,1443139200,9.83659E+18
9/26/15,1443225600,9.28915E+18
9/27/15,1443312000,8.42387E+18
9/28/15,1443398400,9.27235E+18
9/29/15,1443484800,8.87733E+18
9/30/15,1443571200,8.38533E+18
10/1/15,1443657600,8.76795E+18
10/2/15,1443744000,9.7653E+18
10/3/15,1443830400,9.79165E+18
10/4/15,1443916800,9.43193E+18
10/5/15,1444003200,1.14868E+19
10/6/15,1444089600,9.9953E+18
10/7/15,1444176000,1.2183E+19
10/8/15,1444262400,1.19729E+19
10/9/15,1444348800,1.13092E+19
10/10/15,1444435200,1.13828E+19
10/11/15,1444521600,8.99879E+18
10/12/15,1444608000,1.07038E+19
10/13/15,1444694400,1.23232E+19
10/14/15,1444780800,1.1832E+19
10/15/15,1444867200,1.88703E+19
10/16/15,1444953600,2.11794E+19
10/17/15,1445040000,1.22915E+19
10/18/15,1445126400,1.3113E+19
10/19/15,1445212800,1.16992E+19
10/20/15,1445299200,1.1527E+19
10/22/15,1445472000,1.32005E+19
10/21/15,1445385600,1.01559E+19
10/23/15,1445558400,1.37479E+19
10/24/15,1445644800,1.06966E+19
10/25/15,1445731200,9.07951E+18
10/26/15,1445817600,1.07733E+19
10/27/15,1445904000,1.89029E+19
10/28/15,1445990400,1.08987E+19
10/29/15,1446076800,1.25508E+19
10/30/15,1446163200,1.34663E+19
10/31/15,1446249600,1.54824E+19
11/1/15,1446336000,1.61703E+19
11/2/15,1446422400,1.0396E+19
11/3/15,1446508800,1.22404E+19
11/4/15,1446595200,9.39286E+18
11/5/15,1446681600,1.05939E+19
11/6/15,1446768000,1.59363E+19
11/7/15,1446854400,3.20799E+19
11/8/15,1446940800,2.95269E+19
11/9/15,1447027200,1.12631E+19
11/10/15,1447113600,1.53512E+19
11/11/15,1447200000,2.30768E+19
11/12/15,1447286400,2.58891E+19
11/13/15,1447372800,1.45833E+19
11/14/15,1447459200,1.8534E+19
11/15/15,1447545600,1.1484E+19
11/16/15,1447632000,1.02696E+19
11/17/15,1447718400,9.59683E+18
11/18/15,1447804800,1.03215E+19
11/19/15,1447891200,1.58639E+19
11/20/15,1447977600,1.19869E+19
11/21/15,1448064000,1.12449E+19
11/22/15,1448150400,1.12417E+19
11/23/15,1448236800,1.33161E+19
11/24/15,1448323200,1.29665E+19
11/25/15,1448409600,1.24596E+19
11/26/15,1448496000,9.30701E+18
11/27/15,1448582400,9.39919E+18
11/28/15,1448668800,1.45671E+19
11/29/15,1448755200,9.09079E+18
11/30/15,1448841600,2.08158E+19
12/1/15,1448928000,1.30744E+19
12/3/15,1449100800,1.06661E+19
12/2/15,1449014400,1.14381E+19
12/4/15,1449187200,1.23723E+19
12/5/15,1449273600,1.30848E+19
12/6/15,1449360000,1.71474E+19
12/7/15,1449446400,9.64277E+18
12/8/15,1449532800,9.1462E+18
12/9/15,1449619200,1.0137E+19
12/10/15,1449705600,1.13409E+19
12/11/15,1449792000,1.68524E+19
12/12/15,1449878400,2.31231E+19
12/13/15,1449964800,1.87321E+19
12/14/15,1450051200,7.46524E+19
12/15/15,1450137600,1.14408E+20
12/16/15,1450224000,4.42168E+19
12/17/15,1450310400,3.24011E+19
12/18/15,1450396800,3.21814E+19
12/19/15,1450483200,2.85162E+19
12/20/15,1450569600,3.44272E+19
12/21/15,1450656000,3.91192E+19
12/22/15,1450742400,5.91625E+19
12/23/15,1450828800,8.1426E+19
12/24/15,1450915200,4.57546E+19
12/25/15,1451001600,2.65941E+19
12/26/15,1451088000,3.12962E+19
12/27/15,1451174400,8.66343E+19
12/28/15,1451260800,3.64005E+19
12/29/15,1451347200,3.31892E+19
12/30/15,1451433600,7.61323E+19
12/31/15,1451520000,2.50673E+19
1/1/16,1451606400,1.56509E+19
1/2/16,1451692800,1.93598E+19
1/3/16,1451779200,1.94483E+19
1/4/16,1451865600,2.13104E+19
1/5/16,1451952000,6.03564E+19
1/6/16,1452038400,6.65339E+19
1/7/16,1452124800,6.55065E+19
1/8/16,1452211200,2.60495E+19
1/9/16,1452297600,3.93005E+19
1/10/16,1452384000,2.63261E+19
1/11/16,1452470400,2.55136E+19
1/12/16,1452556800,2.56307E+19
1/13/16,1452643200,6.03126E+19
1/14/16,1452729600,2.67762E+19
1/15/16,1452816000,2.31601E+19
1/16/16,1452902400,2.26503E+19
