,USDT_BTC,USDT_BTC,USDT_BTC,USDT_XRP,USDT_XRP,USDT_XRP,USDT_BCH,USDT_BCH,USDT_BCH,USDT_ETH,USDT_ETH,USDT_ETH,USDT_LTC,USDT_LTC,USDT_LTC,USDT_ETC,USDT_ETC,USDT_ETC,USDT_STR,USDT_STR,USDT_STR,USDT_XMR,USDT_XMR,USDT_XMR,USDT_ZEC,USDT_ZEC,USDT_ZEC,USDT_DASH,USDT_DASH,USDT_DASH,USDT_NXT,USDT_NXT,USDT_NXT,USDT_REP,USDT_REP,USDT_REP
,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price,quoteVolume,volume,price
2017-11-19 06:00:00,59.79005259,463398.10791185,7750.42148046,256355.00719174,57931.57728821,0.22598184000000002,197.92206742,243085.24719083,1228.18668155,5626.72206417,1992810.9623498,354.16907741,352.33506009,24212.28064417,68.71947582,5866.29420717,104881.22319674,17.87861629,276241.45128856,10395.19294523,0.03763082,40.18325215,5337.48200706,132.82852236,284.18305155,85001.83584456,299.10944857,91.37849503,41100.9500973,449.78799534,443738.50729972,34762.7432195,0.0783406,213.18966699,4303.56581605,20.18655911
2017-11-19 06:30:00,50.88868175,393897.70737327,7740.37946803,253372.17567731,57241.55756076,0.22591887,120.16561331,146966.69756045,1223.03455632,2772.84153272,987541.74357026,356.14791971,2122.52364817,145916.7793136,68.74683325,8283.59998915,148819.93081945,17.96561048,719554.18396156,26902.04740057,0.0373871,93.07167985,12260.08191495,131.72730883,101.65647704,30389.87329829,298.94674872,64.44363697,28789.61926668,446.74106894,448518.76108802,35293.571244,0.07868917,278.39750331,5623.94216652,20.20112285
2017-11-19 07:00:00,180.05539732,1385474.9167413,7694.71472315,2307816.0182457,513034.44979742,0.22230301,1554.3953803,1840245.3691214,1183.89786308,8405.50776604,3075674.8503781,365.91184446,1216.42850436,83605.95512164,68.7306774,5850.62787105,104237.37552356,17.81644258,1940491.3753938,71951.63951085,0.03707908,492.3542821,63885.35072455,129.75483924,132.5357993,39579.73194682,298.63427206,80.18850822,35588.56432603,443.81127814,351641.60970746,27815.67059475,0.07910232,419.24456789,8465.3133687,20.191826
2017-11-19 07:30:00,115.37149822,888914.60970959,7704.80251556,383051.7715265,86263.79793869,0.2252014,742.14193075,871413.11133455,1174.18660127,3790.55141218,1371591.6242755,361.84488089,690.20263952,47444.5800349,68.7400733,5645.09651098,100464.16578993,17.79671358,1274371.0636801,46611.65614674,0.036576199999999996,114.1532524,14830.03415537,129.91337385,145.21667838,43215.69589994,297.59457647,96.34285016,43206.01304847,448.46102203,447786.09550359,35370.86525201,0.07899053,237.66954353,4845.39089051,20.38709217
2017-11-19 08:00:00,57.46463688,442779.54879174,7705.25270552,105986.24832383,23864.15867367,0.22516278,873.68623816,998905.2562839,1143.32263993,1394.67394793,507129.60909569,363.61875823,442.69040191,30464.39758372,68.8164854,6574.99237021,116655.60825582,17.74231842,404498.83709911,14960.58112928,0.03698547,187.3251237,24254.64925756,129.47889091,175.56214914,52142.75097224,297.00451508,177.48416093,78724.56345256,443.5582479,201343.58533056,15952.58699438,0.07923066000000001,182.37838951,3711.60013664,20.35109612
2017-11-19 08:30:00,54.02641617,417297.669368,7723.95614869,137109.24481035,30828.7873247,0.22484834,630.05609214,732613.18320058,1162.77454077,1207.25410151,432596.11927532,358.33062711,1124.60790192,77772.35606513,69.1550859,1162.9467613,20650.86299832,17.75735887,973234.4690147,36511.97231084,0.03751611,130.0761486,16943.88371675,130.26126541,201.09933733,59575.67114145,296.24996249,119.65910523,52968.63507704,442.66280426,262156.24049348,20395.27911655,0.07779818000000001,209.80965633,4264.57607033,20.32592848
2017-11-19 09:00:00,91.22797628,707405.93281059,7754.26532141,224619.9275015,50900.11669126,0.22660552,250.74165188,291607.55303395,1162.9801066,1061.22944235,381891.73356339,359.85783877,2784.22606738,194447.37848754,69.83893325,2182.94881247,38939.5358862,17.8380435,350379.55229867,13217.74931357,0.03772408,71.67669196,9404.48218799,131.20697859,201.62270851,60001.79518073,297.59443082,18.62824976,8345.35908917,447.99480341,94153.54926013,7319.71943544,0.07774236,67.45192235,1349.4861327,20.0066371
2017-11-19 09:30:00,40.64596253,316009.81067579,7774.69128557,156045.7261072,35559.51693437,0.22787882,173.91973886,204027.87933407,1173.11514306,1543.96478562,562952.17684578,364.614648,3141.21051342,219400.8999073,69.84597147,809.20241266,14478.28134092,17.89203926,482569.14851968,18285.14248402,0.03789123,29.55925175,3887.43117002,131.51317911,80.57632484,24020.21299766,298.10509532,48.32811088,21679.37787295,448.58732274,351459.2728724,26944.78545938,0.07666545,59.93524839,1204.04179022,20.08904313
2017-11-19 10:00:00,29.6568503,230459.35378782,7770.86411593,198140.18619209,45138.82758189,0.22781258000000001,152.86971655,178850.50633417,1169.9538036,725.76897858,262878.29363263,362.20657177,3028.30932647,212840.65633732,70.28365777,1889.3292299,33852.55994001,17.91776647,218236.62917042,8235.65992984,0.03773729,29.4000734,3866.62023848,131.51736684,69.03654209,20663.27914293,299.3093008,43.80269724,19506.87353467,445.33498537,159174.21018297,12211.16383453,0.07671571,34.92691625,710.93593702,20.35495867
